,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
17,Radiant Destiny,W,3.0,{2}{W},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
As Radiant Destiny enters the battlefield, choose a creature type.
Creatures you control of the chosen type get +1/+1. As long as you have the city's blessing, they also have vigilance.",rare,Ascend,,Enchantment
18,Raptor Companion,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature
19,Sanguine Glorifier,W,4.0,{3}{W},3.0,3.0,,"When Sanguine Glorifier enters the battlefield, put a +1/+1 counter on another target Vampire you control.",common,,,Creature
20,Skymarcher Aspirant,W,1.0,{W},2.0,1.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Skymarcher Aspirant has flying as long as you have the city's blessing.",uncommon,Ascend,,Creature
21,Slaughter the Strong,W,3.0,{1}{W}{W},,,,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control.",rare,,,Sorcery
22,Snubhorn Sentry,W,1.0,{W},0.0,3.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Snubhorn Sentry gets +3/+0 as long as you have the city's blessing.",common,Ascend,,Creature
23,Sphinx's Decree,W,2.0,{1}{W},,,,Each opponent can't cast instant or sorcery spells during that player's next turn.,rare,,,Sorcery
24,Squire's Devotion,W,3.0,{2}{W},,,,"Enchant creature
Enchanted creature gets +1/+1 and has lifelink.
When Squire's Devotion enters the battlefield, create a 1/1 white Vampire creature token with lifelink.",common,Enchant,,Enchantment
25,Sun Sentinel,W,2.0,{1}{W},2.0,2.0,,Vigilance (Attacking doesn't cause this creature to tap.),common,Vigilance,,Creature
26,Sun-Crested Pterodon,W,5.0,{4}{W},2.0,5.0,,"Flying
Sun-Crested Pterodon has vigilance as long as you control another Dinosaur.",common,Flying,,Creature
27,Temple Altisaur,W,5.0,{4}{W},3.0,4.0,,"If a source would deal damage to another Dinosaur you control, prevent all but 1 of that damage.",rare,,,Creature
28,Trapjaw Tyrant,W,5.0,{3}{W}{W},5.0,5.0,,"Enrage — Whenever Trapjaw Tyrant is dealt damage, exile target creature an opponent controls until Trapjaw Tyrant leaves the battlefield.",mythic,Enrage,,Creature
29,"Zetalpa, Primal Dawn",W,8.0,{6}{W}{W},4.0,8.0,,"Flying, double strike, vigilance, trample, indestructible",rare,"Double strike, Flying, Indestructible, Trample, Vigilance",Legendary,Creature
30,Admiral's Order,U,3.0,{1}{U}{U},,,,"Raid — If you attacked this turn, you may pay {U} rather than pay this spell's mana cost.
Counter target spell.",rare,Raid,,Instant
31,Aquatic Incursion,U,4.0,{3}{U},,,,"When Aquatic Incursion enters the battlefield, create two 1/1 blue Merfolk creature tokens with hexproof. (They can't be the targets of spells or abilities your opponents control.)
{3}{U}: Target Merfolk can't be blocked this turn.",uncommon,,,Enchantment
32,Crafty Cutpurse,U,4.0,{3}{U},2.0,2.0,,"Flash
When Crafty Cutpurse enters the battlefield, each token that would be created under an opponent's control this turn is created under your control instead.",rare,Flash,,Creature
33,Crashing Tide,U,3.0,{2}{U},,,,"This spell has flash as long as you control a Merfolk.
Return target creature to its owner's hand.
Draw a card.",common,,,Sorcery
34,Curious Obsession,U,1.0,{U},,,,"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card.""
At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession.",uncommon,Enchant,,Enchantment
35,Deadeye Rig-Hauler,U,4.0,{3}{U},3.0,2.0,,"Raid — When Deadeye Rig-Hauler enters the battlefield, if you attacked this turn, you may return target creature to its owner's hand.",common,Raid,,Creature
36,Expel from Orazca,U,2.0,{1}{U},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Return target nonland permanent to its owner's hand. If you have the city's blessing, you may put that permanent on top of its owner's library instead.",uncommon,Ascend,,Instant
37,Flood of Recollection,U,2.0,{U}{U},,,,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.,uncommon,,,Sorcery
38,Hornswoggle,U,3.0,{2}{U},,,,"Counter target creature spell. You create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,,,Instant
39,Induced Amnesia,U,3.0,{2}{U},,,,"When Induced Amnesia enters the battlefield, target player exiles all cards from their hand face down, then draws that many cards.
When Induced Amnesia is put into a graveyard from the battlefield, return the exiled cards to their owner's hand.",rare,,,Enchantment
40,Kitesail Corsair,U,2.0,{1}{U},2.0,1.0,,Kitesail Corsair has flying as long as it's attacking.,common,,,Creature
41,Kumena's Awakening,U,4.0,{2}{U}{U},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
At the beginning of your upkeep, each player draws a card. If you have the city's blessing, instead only you draw a card.",rare,Ascend,,Enchantment
42,Mist-Cloaked Herald,U,1.0,{U},1.0,1.0,,Mist-Cloaked Herald can't be blocked.,common,,,Creature
43,Negate,U,2.0,{1}{U},,,,Counter target noncreature spell.,common,,,Instant
44,"Nezahal, Primal Tide",U,7.0,{5}{U}{U},7.0,7.0,,"This spell can't be countered.
You have no maximum hand size.
Whenever an opponent casts a noncreature spell, draw a card.
Discard three cards: Exile Nezahal, Primal Tide. Return it to the battlefield tapped under its owner's control at the beginning of the next end step.",rare,,Legendary,Creature
45,Release to the Wind,U,3.0,{2}{U},,,,"Exile target nonland permanent. For as long as that card remains exiled, its owner may cast it without paying its mana cost.",rare,,,Instant
46,River Darter,U,3.0,{2}{U},2.0,3.0,,River Darter can't be blocked by Dinosaurs.,common,,,Creature
47,Riverwise Augur,U,4.0,{3}{U},2.0,2.0,,"When Riverwise Augur enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order.",uncommon,,,Creature
48,Sailor of Means,U,3.0,{2}{U},1.0,4.0,,"When Sailor of Means enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Creature
49,Sea Legs,U,1.0,{U},,,,"Flash
Enchant creature
Enchanted creature gets +0/+2 as long as it's a Pirate. Otherwise, it gets -2/-0.",common,"Enchant, Flash",,Enchantment
50,Seafloor Oracle,U,4.0,{2}{U}{U},2.0,3.0,,"Whenever a Merfolk you control deals combat damage to a player, draw a card.",rare,,,Creature
51,Secrets of the Golden City,U,3.0,{1}{U}{U},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Draw two cards. If you have the city's blessing, draw three cards instead.",common,Ascend,,Sorcery
52,Silvergill Adept,U,2.0,{1}{U},2.0,1.0,,"As an additional cost to cast this spell, reveal a Merfolk card from your hand or pay {3}.
When Silvergill Adept enters the battlefield, draw a card.",uncommon,,,Creature
53,Siren Reaver,U,4.0,{3}{U},3.0,2.0,,"Raid — This spell costs {1} less to cast if you attacked this turn.
Flying",uncommon,"Flying, Raid",,Creature
54,Slippery Scoundrel,U,3.0,{2}{U},2.0,2.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
As long as you have the city's blessing, Slippery Scoundrel has hexproof and can't be blocked.",uncommon,Ascend,,Creature
55,Soul of the Rapids,U,5.0,{3}{U}{U},3.0,2.0,,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",common,"Flying, Hexproof",,Creature
56,Spire Winder,U,4.0,{3}{U},2.0,3.0,,"Flying
Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Spire Winder gets +1/+1 as long as you have the city's blessing.",common,"Ascend, Flying",,Creature
57,Sworn Guardian,U,2.0,{1}{U},1.0,3.0,,,common,,,Creature
58,Timestream Navigator,U,2.0,{1}{U},1.0,1.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
{2}{U}{U}, {T}, Put Timestream Navigator on the bottom of its owner's library: Take an extra turn after this one. Activate only if you have the city's blessing.",mythic,Ascend,,Creature
59,Warkite Marauder,U,2.0,{1}{U},2.0,1.0,,"Flying
Whenever Warkite Marauder attacks, target creature defending player controls loses all abilities and has base power and toughness 0/1 until end of turn.",rare,Flying,,Creature
60,Waterknot,U,3.0,{1}{U}{U},,,,"Enchant creature
When Waterknot enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",common,Enchant,,Enchantment
61,Arterial Flow,B,3.0,{1}{B}{B},,,,"Each opponent discards two cards. If you control a Vampire, each opponent loses 2 life and you gain 2 life.",uncommon,,,Sorcery
62,Canal Monitor,B,5.0,{4}{B},5.0,3.0,,,common,,,Creature
63,Champion of Dusk,B,5.0,{3}{B}{B},4.0,4.0,,"When Champion of Dusk enters the battlefield, you draw X cards and you lose X life, where X is the number of Vampires you control.",rare,,,Creature
64,Dark Inquiry,B,3.0,{2}{B},,,,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card.,common,,,Sorcery
65,Dead Man's Chest,B,2.0,{1}{B},,,,"Enchant creature an opponent controls
When enchanted creature dies, exile cards equal to its power from the top of its owner's library. You may cast spells from among those cards for as long as they remain exiled, and you may spend mana as though it were mana of any type to cast those spells.",rare,Enchant,,Enchantment
66,Dinosaur Hunter,B,2.0,{1}{B},2.0,2.0,,"Whenever Dinosaur Hunter deals damage to a Dinosaur, destroy that creature.",common,,,Creature
67,Dire Fleet Poisoner,B,2.0,{1}{B},2.0,2.0,,"Flash
Deathtouch
When Dire Fleet Poisoner enters the battlefield, target attacking Pirate you control gets +1/+1 and gains deathtouch until end of turn.",rare,"Deathtouch, Flash",,Creature
68,Dusk Charger,B,4.0,{3}{B},3.0,3.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Dusk Charger gets +2/+2 as long as you have the city's blessing.",common,Ascend,,Creature
69,Dusk Legion Zealot,B,2.0,{1}{B},1.0,1.0,,"When Dusk Legion Zealot enters the battlefield, you draw a card and you lose 1 life.",common,,,Creature
70,Fathom Fleet Boarder,B,3.0,{2}{B},3.0,3.0,,"When Fathom Fleet Boarder enters the battlefield, you lose 2 life unless you control another Pirate.",common,,,Creature
71,Forerunner of the Coalition,B,3.0,{2}{B},2.0,2.0,,"When Forerunner of the Coalition enters the battlefield, you may search your library for a Pirate card, reveal it, then shuffle and put that card on top.
Whenever another Pirate enters the battlefield under your control, each opponent loses 1 life.",uncommon,,,Creature
72,Golden Demise,B,3.0,{1}{B}{B},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
All creatures get -2/-2 until end of turn. If you have the city's blessing, instead only creatures your opponents control get -2/-2 until end of turn.",uncommon,Ascend,,Sorcery
73,Grasping Scoundrel,B,1.0,{B},1.0,1.0,,Grasping Scoundrel gets +1/+0 as long as it's attacking.,common,,,Creature
74,Gruesome Fate,B,3.0,{2}{B},,,,Each opponent loses 1 life for each creature you control.,common,,,Sorcery
75,Impale,B,4.0,{2}{B}{B},,,,Destroy target creature.,common,,,Sorcery
76,Mastermind's Acquisition,B,4.0,{2}{B}{B},,,,"Choose one —
• Search your library for a card, put it into your hand, then shuffle.
• Put a card you own from outside the game into your hand.",rare,,,Sorcery
77,Mausoleum Harpy,B,5.0,{4}{B},3.0,3.0,,"Flying
Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Whenever another creature you control dies, if you have the city's blessing, put a +1/+1 counter on Mausoleum Harpy.",uncommon,"Ascend, Flying",,Creature
78,Moment of Craving,B,2.0,{1}{B},,,,Target creature gets -2/-2 until end of turn. You gain 2 life.,common,,,Instant
79,Oathsworn Vampire,B,2.0,{1}{B},2.0,2.0,,"Oathsworn Vampire enters the battlefield tapped.
You may cast Oathsworn Vampire from your graveyard if you gained life this turn.",uncommon,,,Creature
80,Pitiless Plunderer,B,4.0,{3}{B},1.0,4.0,,"Whenever another creature you control dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,,,Creature
81,Ravenous Chupacabra,B,4.0,{2}{B}{B},2.0,2.0,,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.",uncommon,,,Creature
82,Reaver Ambush,B,3.0,{2}{B},,,,Exile target creature with power 3 or less.,uncommon,,,Instant
83,Recover,B,3.0,{2}{B},,,,"Return target creature card from your graveyard to your hand.
Draw a card.",common,,,Sorcery
84,Sadistic Skymarcher,B,3.0,{2}{B},2.0,2.0,,"As an additional cost to cast this spell, reveal a Vampire card from your hand or pay {1}.
Flying, lifelink",uncommon,"Flying, Lifelink",,Creature
85,"Tetzimoc, Primal Death",B,6.0,{4}{B}{B},6.0,6.0,,"Deathtouch
{B}, Reveal Tetzimoc, Primal Death from your hand: Put a prey counter on target creature. Activate only during your turn.
When Tetzimoc enters the battlefield, destroy each creature your opponents control with a prey counter on it.",rare,Deathtouch,Legendary,Creature
86,Tomb Robber,B,3.0,{2}{B},1.0,1.0,,"Menace
{1}, Discard a card: Tomb Robber explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",rare,Menace,,Creature
87,Twilight Prophet,B,4.0,{2}{B}{B},2.0,4.0,,"Flying
Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
At the beginning of your upkeep, if you have the city's blessing, reveal the top card of your library and put it into your hand. Each opponent loses X life and you gain X life, where X is that card's mana value.",mythic,"Ascend, Flying",,Creature
88,Vampire Revenant,B,4.0,{3}{B},3.0,1.0,,Flying,common,Flying,,Creature
89,Vona's Hunger,B,3.0,{2}{B},,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Each opponent sacrifices a creature. If you have the city's blessing, instead each opponent sacrifices half the creatures they control, rounded up.",rare,Ascend,,Instant
90,Voracious Vampire,B,3.0,{2}{B},2.0,2.0,,"Menace
When Voracious Vampire enters the battlefield, target Vampire you control gets +1/+1 and gains menace until end of turn.",common,Menace,,Creature
91,Blood Sun,R,3.0,{2}{R},,,,"When Blood Sun enters the battlefield, draw a card.
All lands lose all abilities except mana abilities.",rare,,,Enchantment
92,Bombard,R,3.0,{2}{R},,,,Bombard deals 4 damage to target creature.,common,,,Instant
93,Brass's Bounty,R,7.0,{6}{R},,,,"For each land you control, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",rare,,,Sorcery
94,Brazen Freebooter,R,4.0,{3}{R},3.0,3.0,,"When Brazen Freebooter enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",common,,,Creature
95,Buccaneer's Bravado,R,2.0,{1}{R},,,,"Choose one —
• Target creature gets +1/+1 and gains first strike until end of turn.
• Target Pirate gets +1/+1 and gains double strike until end of turn.",common,,,Instant
96,Charging Tuskodon,R,5.0,{3}{R}{R},4.0,4.0,,"Trample
If Charging Tuskodon would deal combat damage to a player, it deals double that damage to that player instead.",uncommon,Trample,,Creature
97,Daring Buccaneer,R,1.0,{R},2.0,2.0,,"As an additional cost to cast this spell, reveal a Pirate card from your hand or pay {2}.",uncommon,,,Creature
98,Dire Fleet Daredevil,R,2.0,{1}{R},2.0,1.0,,"First strike
When Dire Fleet Daredevil enters the battlefield, exile target instant or sorcery card from an opponent's graveyard. You may cast it this turn, and you may spend mana as though it were mana of any type to cast that spell. If that spell would be put into a graveyard this turn, exile it instead.",rare,First strike,,Creature
99,"Etali, Primal Storm",R,6.0,{4}{R}{R},6.0,6.0,,"Whenever Etali, Primal Storm attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.",rare,,Legendary,Creature
100,Fanatical Firebrand,R,1.0,{R},1.0,1.0,,"Haste
{T}, Sacrifice Fanatical Firebrand: It deals 1 damage to any target.",common,Haste,,Creature
101,Forerunner of the Empire,R,4.0,{3}{R},1.0,3.0,,"When Forerunner of the Empire enters the battlefield, you may search your library for a Dinosaur card, reveal it, then shuffle and put that card on top.
Whenever a Dinosaur enters the battlefield under your control, you may have Forerunner of the Empire deal 1 damage to each creature.",uncommon,,,Creature
102,Form of the Dinosaur,R,6.0,{4}{R}{R},,,,"When Form of the Dinosaur enters the battlefield, your life total becomes 15.
At the beginning of your upkeep, Form of the Dinosaur deals 15 damage to target creature an opponent controls and that creature deals damage equal to its power to you.",rare,,,Enchantment
103,Frilled Deathspitter,R,3.0,{2}{R},3.0,2.0,,"Enrage — Whenever Frilled Deathspitter is dealt damage, it deals 2 damage to target opponent or planeswalker.",common,Enrage,,Creature
104,Goblin Trailblazer,R,2.0,{1}{R},2.0,1.0,,Menace (This creature can't be blocked except by two or more creatures.),common,Menace,,Creature
105,Mutiny,R,1.0,{R},,,,Target creature an opponent controls deals damage equal to its power to another target creature that player controls.,common,,,Sorcery
106,Needletooth Raptor,R,4.0,{3}{R},2.0,2.0,,"Enrage — Whenever Needletooth Raptor is dealt damage, it deals 5 damage to target creature an opponent controls.",uncommon,Enrage,,Creature
107,Orazca Raptor,R,4.0,{2}{R}{R},3.0,4.0,,,common,,,Creature
108,Pirate's Pillage,R,4.0,{3}{R},,,,"As an additional cost to cast this spell, discard a card.
Draw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",uncommon,,,Sorcery
109,Reckless Rage,R,1.0,{R},,,,Reckless Rage deals 4 damage to target creature you don't control and 2 damage to target creature you control.,uncommon,,,Instant
110,Rekindling Phoenix,R,4.0,{2}{R}{R},4.0,3.0,,"Flying
When Rekindling Phoenix dies, create a 0/1 red Elemental creature token with ""At the beginning of your upkeep, sacrifice this creature and return target card named Rekindling Phoenix from your graveyard to the battlefield. It gains haste until end of turn.""",mythic,Flying,,Creature
111,See Red,R,2.0,{1}{R},,,,"Enchant creature
Enchanted creature gets +2/+1 and has first strike.
At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice See Red.",uncommon,Enchant,,Enchantment
112,Shake the Foundations,R,3.0,{2}{R},,,,"Shake the Foundations deals 1 damage to each creature without flying.
Draw a card.",uncommon,,,Instant
113,Shatter,R,2.0,{1}{R},,,,Destroy target artifact.,common,,,Instant
114,Silverclad Ferocidons,R,7.0,{5}{R}{R},8.0,5.0,,"Enrage — Whenever Silverclad Ferocidons is dealt damage, each opponent sacrifices a permanent.",rare,Enrage,,Creature
115,Stampeding Horncrest,R,5.0,{4}{R},4.0,4.0,,Stampeding Horncrest has haste as long as you control another Dinosaur.,common,,,Creature
116,Storm Fleet Swashbuckler,R,2.0,{1}{R},2.0,2.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Storm Fleet Swashbuckler has double strike as long as you have the city's blessing.",uncommon,Ascend,,Creature
117,Sun-Collared Raptor,R,2.0,{1}{R},1.0,2.0,,"Trample
{2}{R}: Sun-Collared Raptor gets +3/+0 until end of turn.",common,Trample,,Creature
118,Swaggering Corsair,R,3.0,{2}{R},2.0,2.0,,Raid — Swaggering Corsair enters the battlefield with a +1/+1 counter on it if you attacked this turn.,common,Raid,,Creature
119,Tilonalli's Crown,R,2.0,{1}{R},,,,"Enchant creature
When Tilonalli's Crown enters the battlefield, it deals 1 damage to enchanted creature.
Enchanted creature gets +3/+0 and has trample.",common,Enchant,,Enchantment
120,Tilonalli's Summoner,R,2.0,{1}{R},1.0,1.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Whenever Tilonalli's Summoner attacks, you may pay {X}{R}. If you do, create X 1/1 red Elemental creature tokens that are tapped and attacking. At the beginning of the next end step, exile those tokens unless you have the city's blessing.",rare,Ascend,,Creature
121,Aggressive Urge,G,2.0,{1}{G},,,,"Target creature gets +1/+1 until end of turn.
Draw a card.",common,,,Instant
122,Cacophodon,G,4.0,{3}{G},2.0,5.0,,"Enrage — Whenever Cacophodon is dealt damage, untap target permanent.",uncommon,Enrage,,Creature
123,Cherished Hatchling,G,2.0,{1}{G},2.0,1.0,,"When Cherished Hatchling dies, you may cast Dinosaur spells this turn as though they had flash, and whenever you cast a Dinosaur spell this turn, it gains ""When this creature enters the battlefield, you may have it fight another target creature.""",uncommon,Fight,,Creature
124,Colossal Dreadmaw,G,6.0,{4}{G}{G},6.0,6.0,,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),common,Trample,,Creature
125,Crested Herdcaller,G,5.0,{3}{G}{G},3.0,3.0,,"Trample
When Crested Herdcaller enters the battlefield, create a 3/3 green Dinosaur creature token with trample.",uncommon,Trample,,Creature
126,Deeproot Elite,G,2.0,{1}{G},1.0,1.0,,"Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on target Merfolk you control.",rare,,,Creature
127,Enter the Unknown,G,1.0,{G},,,,"Target creature you control explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.)
You may play an additional land this turn.",uncommon,,,Sorcery
128,Forerunner of the Heralds,G,4.0,{3}{G},3.0,2.0,,"When Forerunner of the Heralds enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle and put that card on top.
Whenever another Merfolk enters the battlefield under your control, put a +1/+1 counter on Forerunner of the Heralds.",uncommon,,,Creature
129,"Ghalta, Primal Hunger",G,12.0,{10}{G}{G},12.0,12.0,,"This spell costs {X} less to cast, where X is the total power of creatures you control.
Trample",rare,Trample,Legendary,Creature
130,Giltgrove Stalker,G,2.0,{1}{G},2.0,1.0,,Giltgrove Stalker can't be blocked by creatures with power 2 or less.,common,,,Creature
131,Hardy Veteran,G,2.0,{1}{G},2.0,2.0,,"As long as it's your turn, Hardy Veteran gets +0/+2.",common,,,Creature
132,Hunt the Weak,G,4.0,{3}{G},,,,Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.),common,Fight,,Sorcery
133,Jade Bearer,G,1.0,{G},1.0,1.0,,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control.",common,,,Creature
134,Jadecraft Artisan,G,4.0,{3}{G},3.0,3.0,,"When Jadecraft Artisan enters the battlefield, target creature gets +2/+2 until end of turn.",common,,,Creature
135,Jadelight Ranger,G,3.0,{1}{G}{G},2.0,1.0,,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)",rare,Explore,,Creature
136,Jungleborn Pioneer,G,3.0,{2}{G},2.0,2.0,,"When Jungleborn Pioneer enters the battlefield, create a 1/1 blue Merfolk creature token with hexproof. (It can't be the target of spells or abilities your opponents control.)",common,,,Creature
137,Knight of the Stampede,G,4.0,{3}{G},2.0,4.0,,Dinosaur spells you cast cost {2} less to cast.,common,,,Creature
138,Naturalize,G,2.0,{1}{G},,,,Destroy target artifact or enchantment.,common,,,Instant
139,Orazca Frillback,G,3.0,{2}{G},4.0,2.0,,,common,,,Creature
140,Overgrown Armasaur,G,5.0,{3}{G}{G},4.0,4.0,,"Enrage — Whenever Overgrown Armasaur is dealt damage, create a 1/1 green Saproling creature token.",common,Enrage,,Creature
141,Path of Discovery,G,4.0,{3}{G},,,,"Whenever a creature enters the battlefield under your control, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.)",rare,Explore,,Enchantment
142,Plummet,G,2.0,{1}{G},,,,Destroy target creature with flying.,common,,,Instant
143,Polyraptor,G,8.0,{6}{G}{G},5.0,5.0,,"Enrage — Whenever Polyraptor is dealt damage, create a token that's a copy of Polyraptor.",mythic,Enrage,,Creature
144,Strength of the Pack,G,6.0,{4}{G}{G},,,,Put two +1/+1 counters on each creature you control.,uncommon,,,Sorcery
145,Swift Warden,G,3.0,{1}{G}{G},3.0,3.0,,"Flash
When Swift Warden enters the battlefield, target Merfolk you control gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)",uncommon,Flash,,Creature
146,Tendershoot Dryad,G,5.0,{4}{G},2.0,2.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
At the beginning of each upkeep, create a 1/1 green Saproling creature token.
Saprolings you control get +2/+2 as long as you have the city's blessing.",rare,Ascend,,Creature
147,Thrashing Brontodon,G,3.0,{1}{G}{G},3.0,4.0,,"{1}, Sacrifice Thrashing Brontodon: Destroy target artifact or enchantment.",uncommon,,,Creature
148,Thunderherd Migration,G,2.0,{1}{G},,,,"As an additional cost to cast this spell, reveal a Dinosaur card from your hand or pay {1}.
Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",uncommon,,,Sorcery
149,Wayward Swordtooth,G,3.0,{2}{G},5.0,5.0,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
You may play an additional land on each of your turns.
Wayward Swordtooth can't attack or block unless you have the city's blessing.",rare,Ascend,,Creature
