,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
40,Archipelagore,U,7.0,{5}{U}{U},7.0,7.0,,"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, tap up to X target creatures, where X is the number of times this creature has mutated. Those creatures don't untap during their controller's next untap step.",uncommon,Mutate,,Creature,Leviathan
41,Avian Oddity,U,4.0,{3}{U},2.0,4.0,,"Flying
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Avian Oddity, put a flying counter on target creature you control.",uncommon,"Cycling, Flying",,Creature,Bird
42,Boon of the Wish-Giver,U,6.0,{4}{U}{U},,,,"Draw four cards.
Cycling {1} ({1}, Discard this card: Draw a card.)",uncommon,Cycling,,Sorcery,
43,Capture Sphere,U,4.0,{3}{U},,,,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
When Capture Sphere enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",common,"Enchant, Flash",,Enchantment,Aura
44,Convolute,U,3.0,{2}{U},,,,Counter target spell unless its controller pays {4}.,common,,,Instant,
45,Crystacean,U,4.0,{3}{U},1.0,6.0,,Flash,common,Flash,,Creature,Crab
46,Dreamtail Heron,U,5.0,{4}{U},3.0,4.0,,"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, draw a card.",common,"Flying, Mutate",,Creature,"Elemental, Bird"
47,Escape Protocol,U,2.0,{1}{U},,,,"Whenever you cycle a card, you may pay {1}. When you do, exile target artifact or creature you control, then return it to the battlefield under its owner's control.",uncommon,,,Enchantment,
48,Essence Scatter,U,2.0,{1}{U},,,,Counter target creature spell.,common,,,Instant,
49,Facet Reader,U,2.0,{1}{U},1.0,2.0,,"{1}, {T}: Draw a card, then discard a card.",common,,,Creature,"Human, Wizard"
50,Frost Lynx,U,3.0,{2}{U},2.0,2.0,,"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",common,,,Creature,"Elemental, Cat"
51,Frostveil Ambush,U,5.0,{3}{U}{U},,,,"Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.
Cycling {1} ({1}, Discard this card: Draw a card.)",common,Cycling,,Instant,
52,Glimmerbell,U,2.0,{1}{U},1.0,3.0,,"Flying
{1}{U}: Untap Glimmerbell.",common,Flying,,Creature,"Elemental, Jellyfish"
53,Gust of Wind,U,4.0,{3}{U},,,,"This spell costs {2} less to cast if you control a creature with flying.
Return target nonland permanent you don't control to its owner's hand.
Draw a card.",common,,,Sorcery,
54,Hampering Snare,U,2.0,{1}{U},,,,"Creatures your opponents control get -2/-0 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant,
55,Keep Safe,U,2.0,{1}{U},,,,"Counter target spell that targets a permanent you control.
Draw a card.",common,,,Instant,
56,Mystic Subdual,U,2.0,{1}{U},,,,"Flash
Enchant creature
Enchanted creature gets -2/-0 and loses all abilities. (Mutating onto the creature won't give it new abilities. It can gain abilities in other ways.)",uncommon,"Enchant, Flash",,Enchantment,Aura
57,Mythos of Illuna,U,4.0,{2}{U}{U},,,,"Create a token that's a copy of target permanent. If {R}{G} was spent to cast this spell, instead create a token that's a copy of that permanent, except the token has ""When this permanent enters the battlefield, if it's a creature, it fights up to one target creature you don't control.""",rare,Fight,,Sorcery,
58,Neutralize,U,3.0,{1}{U}{U},,,,"Counter target spell.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Instant,
59,Of One Mind,U,3.0,{2}{U},,,,"This spell costs {2} less to cast if you control a Human creature and a non-Human creature.
Draw two cards.",common,,,Sorcery,
60,Ominous Seas,U,2.0,{1}{U},,,,"Whenever you draw a card, put a foreshadow counter on Ominous Seas.
Remove eight foreshadow counters from Ominous Seas: Create an 8/8 blue Kraken creature token.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Enchantment,
61,Phase Dolphin,U,3.0,{2}{U},1.0,4.0,,"Whenever Phase Dolphin attacks, another target attacking creature can't be blocked this turn.",common,,,Creature,"Elemental, Whale"
62,Pollywog Symbiote,U,2.0,{1}{U},1.0,3.0,,"Each creature spell you cast costs {1} less to cast if it has mutate.
Whenever you cast a creature spell, if it has mutate, draw a card, then discard a card.",uncommon,,,Creature,Frog
63,Pouncing Shoreshark,U,5.0,{4}{U},4.0,3.0,,"Mutate {3}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature mutates, you may return target creature an opponent controls to its owner's hand.",uncommon,"Flash, Mutate",,Creature,"Shark, Beast"
64,Reconnaissance Mission,U,4.0,{2}{U}{U},,,,"Whenever a creature you control deals combat damage to a player, you may draw a card.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Enchantment,
65,Sea-Dasher Octopus,U,3.0,{1}{U}{U},2.0,2.0,,"Mutate {1}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Whenever this creature deals combat damage to a player, draw a card.",rare,"Flash, Mutate",,Creature,Octopus
66,Shark Typhoon,U,6.0,{5}{U},,,,"Whenever you cast a noncreature spell, create an X/X blue Shark creature token with flying, where X is that spell's mana value.
Cycling {X}{1}{U} ({X}{1}{U}, Discard this card: Draw a card.)
When you cycle Shark Typhoon, create an X/X blue Shark creature token with flying.",rare,Cycling,,Enchantment,
67,Startling Development,U,2.0,{1}{U},,,,"Until end of turn, target creature becomes a blue Serpent with base power and toughness 4/4.
Cycling {1} ({1}, Discard this card: Draw a card.)",common,Cycling,,Instant,
68,Thieving Otter,U,3.0,{2}{U},2.0,2.0,,"Whenever Thieving Otter deals damage to an opponent, draw a card.",common,,,Creature,Otter
69,Voracious Greatshark,U,5.0,{3}{U}{U},5.0,4.0,,"Flash
When Voracious Greatshark enters the battlefield, counter target artifact or creature spell.",rare,Flash,,Creature,Shark
70,Wingfold Pteron,U,6.0,{5}{U},3.0,6.0,,Wingfold Pteron enters the battlefield with your choice of a flying counter or a hexproof counter on it. (A creature with hexproof can't be the target of spells or abilities your opponents control.),common,,,Creature,Dinosaur
71,Wingspan Mentor,U,3.0,{2}{U},1.0,3.0,,"When Wingspan Mentor enters the battlefield, put a flying counter on target non-Human creature you control.
{2}{U}, {T}: Put a +1/+1 counter on each creature you control with flying.",uncommon,,,Creature,"Human, Wizard"
72,Bastion of Remembrance,B,3.0,{2}{B},,,,"When Bastion of Remembrance enters the battlefield, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",uncommon,,,Enchantment,
73,Blitz Leech,B,6.0,{5}{B},5.0,2.0,,"Flash
When Blitz Leech enters the battlefield, target creature an opponent controls gets -2/-2 until end of turn. Remove all counters from that creature.",common,Flash,,Creature,Leech
74,Blood Curdle,B,4.0,{3}{B},,,,Destroy target creature. Put a menace counter on a creature you control. (It can't be blocked except by two or more creatures.),common,,,Instant,
75,Boot Nipper,B,2.0,{1}{B},2.0,1.0,,Boot Nipper enters the battlefield with your choice of a deathtouch counter or a lifelink counter on it.,common,,,Creature,Beast
76,Bushmeat Poacher,B,4.0,{3}{B},2.0,4.0,,"{1}, {T}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness. Draw a card.",common,,,Creature,"Human, Soldier"
77,Call of the Death-Dweller,B,3.0,{2}{B},,,,Return up to two target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a deathtouch counter on either of them. Then put a menace counter on either of them.,uncommon,,,Sorcery,
78,Cavern Whisperer,B,5.0,{4}{B},4.0,4.0,,"Mutate {3}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Menace (This creature can't be blocked except by two or more creatures.)
Whenever this creature mutates, each opponent discards a card.",common,"Menace, Mutate",,Creature,Nightmare
79,Chittering Harvester,B,6.0,{5}{B},4.0,6.0,,"Mutate {4}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, each opponent sacrifices a creature.",uncommon,Mutate,,Creature,Nightmare
80,Corpse Churn,B,2.0,{1}{B},,,,"Mill three cards, then you may return a creature card from your graveyard to your hand. (To mill a card, put the top card of your library into your graveyard.)",common,Mill,,Instant,
81,Dark Bargain,B,4.0,{3}{B},,,,Look at the top three cards of your library. Put two of them into your hand and the other into your graveyard. Dark Bargain deals 2 damage to you.,common,,,Instant,
82,Dead Weight,B,1.0,{B},,,,"Enchant creature
Enchanted creature gets -2/-2.",common,Enchant,,Enchantment,Aura
83,Dirge Bat,B,4.0,{2}{B}{B},3.0,3.0,,"Mutate {4}{B}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flash
Flying
Whenever this creature mutates, destroy target creature or planeswalker an opponent controls.",rare,"Flash, Flying, Mutate",,Creature,Bat
84,Durable Coilbug,B,2.0,{1}{B},2.0,2.0,,{4}{B}: Return Durable Coilbug from your graveyard to your hand.,common,,,Creature,Insect
85,Duskfang Mentor,B,3.0,{2}{B},1.0,3.0,,"When Duskfang Mentor enters the battlefield, put a lifelink counter on target non-Human creature you control.
{1}{B}, {T}: Put a +1/+1 counter on each creature you control with lifelink.",uncommon,,,Creature,"Human, Cleric"
86,Easy Prey,B,2.0,{1}{B},,,,"Destroy target creature with mana value 2 or less.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Instant,
87,Extinction Event,B,4.0,{3}{B},,,,Choose odd or even. Exile each creature with mana value of the chosen quality. (Zero is even.),rare,,,Sorcery,
88,Gloom Pangolin,B,3.0,{2}{B},1.0,5.0,,,common,,,Creature,"Nightmare, Pangolin"
89,Grimdancer,B,3.0,{1}{B}{B},3.0,3.0,,"Grimdancer enters the battlefield with your choice of two different counters on it from among menace, deathtouch, and lifelink.",uncommon,,,Creature,Nightmare
90,Heartless Act,B,2.0,{1}{B},,,,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature.",uncommon,,,Instant,
91,Hunted Nightmare,B,3.0,{1}{B}{B},4.0,5.0,,"Menace
When Hunted Nightmare enters the battlefield, target opponent puts a deathtouch counter on a creature they control.",rare,Menace,,Creature,Nightmare
92,Insatiable Hemophage,B,4.0,{3}{B},3.0,3.0,,"Mutate {2}{B} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Deathtouch
Whenever this creature mutates, each opponent loses X life and you gain X life, where X is the number of times this creature has mutated.",uncommon,"Deathtouch, Mutate",,Creature,Nightmare
93,Lurking Deadeye,B,4.0,{3}{B},4.0,2.0,,"Flash
When Lurking Deadeye enters the battlefield, destroy target creature that was dealt damage this turn.",common,Flash,,Creature,"Human, Assassin"
94,Memory Leak,B,3.0,{2}{B},,,,"Target opponent reveals their hand. You choose a nonland card from that player's graveyard or hand and exile it.
Cycling {1} ({1}, Discard this card: Draw a card.)",common,Cycling,,Sorcery,
95,Mutual Destruction,B,1.0,{B},,,,"This spell has flash as long as you control a permanent with flash.
As an additional cost to cast this spell, sacrifice a creature.
Destroy target creature.",common,,,Sorcery,
96,Mythos of Nethroi,B,3.0,{2}{B},,,,Destroy target nonland permanent if it's a creature or if {G}{W} was spent to cast this spell.,rare,,,Instant,
97,Nightsquad Commando,B,3.0,{2}{B},2.0,3.0,,"When Nightsquad Commando enters the battlefield, if you attacked this turn, create a 1/1 white Human Soldier creature token.",common,,,Creature,"Human, Soldier"
98,Serrated Scorpion,B,1.0,{B},1.0,2.0,,"When Serrated Scorpion dies, it deals 2 damage to each opponent and you gain 2 life.",common,,,Creature,Scorpion
99,Suffocating Fumes,B,3.0,{2}{B},,,,"Creatures your opponents control get -1/-1 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant,
100,Unbreakable Bond,B,5.0,{4}{B},,,,Return target creature card from your graveyard to the battlefield with a lifelink counter on it.,uncommon,,,Sorcery,
101,Unexpected Fangs,B,2.0,{1}{B},,,,Put a +1/+1 counter and a lifelink counter on target creature.,common,,,Instant,
102,Unlikely Aid,B,2.0,{1}{B},,,,"Target creature gets +2/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Instant,
103,Void Beckoner,B,8.0,{6}{B}{B},8.0,8.0,,"Deathtouch
Cycling {2}{B} ({2}{B}, Discard this card: Draw a card.)
When you cycle Void Beckoner, put a deathtouch counter on target creature you control.",uncommon,"Cycling, Deathtouch",,Creature,"Nightmare, Horror"
104,Whisper Squad,B,1.0,{B},1.0,1.0,,"{1}{B}: Search your library for a card named Whisper Squad, put it onto the battlefield tapped, then shuffle.",common,,,Creature,"Human, Soldier"
105,Zagoth Mamba,B,1.0,{B},1.0,1.0,,"Whenever this creature mutates, target creature an opponent controls gets -2/-2 until end of turn.",uncommon,,,Creature,"Nightmare, Snake"
106,Blazing Volley,R,1.0,{R},,,,Blazing Volley deals 1 damage to each creature your opponents control.,common,,,Sorcery,
107,Blisterspit Gremlin,R,1.0,{R},1.0,1.0,,"{1}, {T}: Blisterspit Gremlin deals 1 damage to each opponent.
Whenever you cast a noncreature spell, untap Blisterspit Gremlin.",common,,,Creature,Gremlin
108,Blitz of the Thunder-Raptor,R,2.0,{1}{R},,,,"Blitz of the Thunder-Raptor deals damage to target creature or planeswalker equal to the number of instant and sorcery cards in your graveyard. If that creature or planeswalker would die this turn, exile it instead.",uncommon,,,Instant,
109,Cathartic Reunion,R,2.0,{1}{R},,,,"As an additional cost to cast this spell, discard two cards.
Draw three cards.",common,,,Sorcery,
110,Clash of Titans,R,5.0,{3}{R}{R},,,,Target creature fights another target creature. (Each deals damage equal to its power to the other.),uncommon,Fight,,Instant,
111,Cloudpiercer,R,5.0,{4}{R},5.0,4.0,,"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Reach
Whenever this creature mutates, you may discard a card. If you do, draw a card.",common,"Mutate, Reach",,Creature,Dinosaur
112,Drannith Stinger,R,2.0,{1}{R},2.0,2.0,,"Whenever you cycle another card, Drannith Stinger deals 1 damage to each opponent.
Cycling {1} ({1}, Discard this card: Draw a card.)",common,Cycling,,Creature,"Human, Wizard"
113,Everquill Phoenix,R,4.0,{2}{R}{R},4.0,4.0,,"Mutate {3}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Flying
Whenever this creature mutates, create a red artifact token named Feather with ""{1}, Sacrifice Feather: Return target Phoenix card from your graveyard to the battlefield tapped.""",rare,"Flying, Mutate",,Creature,Phoenix
114,Ferocious Tigorilla,R,4.0,{3}{R},4.0,3.0,,Ferocious Tigorilla enters the battlefield with your choice of a trample counter or a menace counter on it. (A creature with menace can't be blocked except by two or more creatures.),common,,,Creature,"Cat, Ape"
115,Fire Prophecy,R,2.0,{1}{R},,,,"Fire Prophecy deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card.",common,,,Instant,
116,Flame Spill,R,3.0,{2}{R},,,,Flame Spill deals 4 damage to target creature. Excess damage is dealt to that creature's controller instead.,uncommon,,,Instant,
117,Footfall Crater,R,1.0,{R},,,,"Enchant land
Enchanted land has ""{T}: Target creature gains trample and haste until end of turn.""
Cycling {1} ({1}, Discard this card: Draw a card.)",uncommon,"Cycling, Enchant",,Enchantment,Aura
118,Forbidden Friendship,R,2.0,{1}{R},,,,Create a 1/1 red Dinosaur creature token with haste and a 1/1 white Human Soldier creature token.,common,,,Sorcery,
119,Frenzied Raptor,R,3.0,{2}{R},4.0,2.0,,,common,,,Creature,Dinosaur
120,Frillscare Mentor,R,3.0,{2}{R},3.0,2.0,,"When Frillscare Mentor enters the battlefield, put a menace counter on target non-Human creature you control. (It can't be blocked except by two or more creatures.)
{2}{R}, {T}: Put a +1/+1 counter on each creature you control with menace.",uncommon,,,Creature,"Human, Warrior"
121,Go for Blood,R,2.0,{1}{R},,,,"Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Cycling {1} ({1}, Discard this card: Draw a card.)",common,"Cycling, Fight",,Sorcery,
122,Heightened Reflexes,R,1.0,{R},,,,Target creature gets +1/+0 until end of turn. Put a first strike counter on it.,common,,,Instant,
123,Lava Serpent,R,6.0,{5}{R},5.0,5.0,,"Haste
Cycling {2} ({2}, Discard this card: Draw a card.)",common,"Cycling, Haste",,Creature,"Elemental, Serpent"
124,"Lukka, Coppercoat Outcast",R,5.0,{3}{R}{R},,,5.0,"[+1]: Exile the top three cards of your library. Creature cards exiled this way gain ""You may cast this card from exile as long as you control a Lukka planeswalker.""
[−2]: Exile target creature you control, then reveal cards from the top of your library until you reveal a creature card with higher mana value. Put that card onto the battlefield and the rest on the bottom of your library in a random order.
[−7]: Each creature you control deals damage equal to its power to each opponent.",mythic,,Legendary,Planeswalker,Lukka
125,Momentum Rumbler,R,4.0,{3}{R},3.0,3.0,,"Whenever Momentum Rumbler attacks, if it doesn't have first strike, put a first strike counter on it.
Whenever Momentum Rumbler attacks, if it has first strike, it gains double strike until end of turn.",uncommon,,,Creature,Dinosaur
126,Mythos of Vadrok,R,4.0,{2}{R}{R},,,,"Mythos of Vadrok deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers. If {W}{U} was spent to cast this spell, until your next turn, those permanents can't attack or block and their activated abilities can't be activated.",rare,,,Sorcery,
127,Porcuparrot,R,4.0,{3}{R},3.0,4.0,,"Mutate {2}{R} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
{T}: This creature deals X damage to any target, where X is the number of times this creature has mutated.",uncommon,Mutate,,Creature,"Bird, Beast"
128,Prickly Marmoset,R,3.0,{2}{R},2.0,3.0,,"First strike
Whenever you cycle a card, Prickly Marmoset gets +2/+0 until end of turn.",common,First strike,,Creature,Monkey
129,Pyroceratops,R,4.0,{3}{R},2.0,3.0,,"Trample
Whenever you cast a noncreature spell, put a +1/+1 counter on Pyroceratops.",common,Trample,,Creature,"Elemental, Dinosaur"
130,Raking Claws,R,2.0,{1}{R},,,,"Target creature gains double strike until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant,
131,Reptilian Reflection,R,3.0,{2}{R},,,,"Whenever you cycle a card, you may have Reptilian Reflection become a 5/4 Dinosaur creature with trample and haste in addition to its other types until end of turn.",uncommon,,,Enchantment,
132,Rooting Moloch,R,5.0,{4}{R},4.0,4.0,,"When Rooting Moloch enters the battlefield, exile target card with a cycling ability from your graveyard. Until the end of your next turn, you may play that card.
Cycling {2} ({2}, Discard this card: Draw a card.)",uncommon,Cycling,,Creature,Lizard
133,Rumbling Rockslide,R,4.0,{3}{R},,,,Rumbling Rockslide deals damage to target creature equal to the number of lands you control.,common,,,Sorcery,
134,Sanctuary Smasher,R,6.0,{4}{R}{R},6.0,4.0,,"First strike
Cycling {2}{R} ({2}{R}, Discard this card: Draw a card.)
When you cycle Sanctuary Smasher, put a first strike counter on target creature you control.",uncommon,"Cycling, First strike",,Creature,"Rhino, Beast"
135,Shredded Sails,R,2.0,{1}{R},,,,"Choose one —
• Destroy target artifact.
• Shredded Sails deals 4 damage to target creature with flying.
Cycling {2} ({2}, Discard this card: Draw a card.)",common,Cycling,,Instant,
136,Spelleater Wolverine,R,3.0,{2}{R},3.0,2.0,,Spelleater Wolverine has double strike as long as there are three or more instant and/or sorcery cards in your graveyard.,common,,,Creature,Wolverine
137,Tentative Connection,R,4.0,{3}{R},,,,"This spell costs {3} less to cast if you control a creature with menace.
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",common,,,Sorcery,
