,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types,subtypes
35,Illusionist's Stratagem,U,4.0,{3}{U},,,,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.
Draw a card.",uncommon,,,Instant,
36,Leave in the Dust,U,4.0,{3}{U},,,,"Return target nonland permanent to its owner's hand.
Draw a card.",common,,,Instant,
37,Mechanized Production,U,4.0,{2}{U}{U},,,,"Enchant artifact you control
At the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game.",mythic,Enchant,,Enchantment,Aura
38,Metallic Rebuke,U,3.0,{2}{U},,,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Counter target spell unless its controller pays {3}.",common,Improvise,,Instant,
39,Negate,U,2.0,{1}{U},,,,Counter target noncreature spell.,common,,,Instant,
40,Quicksmith Spy,U,4.0,{3}{U},2.0,3.0,,"When Quicksmith Spy enters the battlefield, target artifact you control gains ""{T}: Draw a card"" for as long as you control Quicksmith Spy.",rare,,,Creature,"Human, Artificer"
41,Reverse Engineer,U,5.0,{3}{U}{U},,,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Draw three cards.",uncommon,Improvise,,Sorcery,
42,Salvage Scuttler,U,5.0,{4}{U},4.0,4.0,,"Whenever Salvage Scuttler attacks, return an artifact you control to its owner's hand.",uncommon,,,Creature,Crab
43,Shielded Aether Thief,U,2.0,{1}{U},0.0,4.0,,"Flash (You may cast this spell any time you could cast an instant.)
Whenever Shielded Aether Thief blocks, you get {E} (an energy counter).
{T}, Pay {E}{E}{E}: Draw a card.",uncommon,Flash,,Creature,"Vedalken, Rogue"
44,Shipwreck Moray,U,4.0,{3}{U},0.0,5.0,,"When Shipwreck Moray enters the battlefield, you get {E}{E}{E}{E} (four energy counters).
Pay {E}: Shipwreck Moray gets +2/-2 until end of turn.",common,,,Creature,Fish
45,Skyship Plunderer,U,2.0,{1}{U},2.0,1.0,,"Flying
Whenever Skyship Plunderer deals combat damage to a player, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.",uncommon,Flying,,Creature,"Human, Pirate"
46,Take into Custody,U,1.0,{U},,,,Tap target creature. It doesn't untap during its controller's next untap step.,common,,,Instant,
47,Trophy Mage,U,3.0,{2}{U},2.0,2.0,,"When Trophy Mage enters the battlefield, you may search your library for an artifact card with mana value 3, reveal it, put it into your hand, then shuffle.",uncommon,,,Creature,"Human, Wizard"
48,Wind-Kin Raiders,U,6.0,{4}{U}{U},4.0,3.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying",uncommon,"Flying, Improvise",,Creature,"Human, Artificer"
49,Aether Poisoner,B,2.0,{1}{B},1.0,1.0,,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Aether Poisoner enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Poisoner attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,Deathtouch,,Creature,"Human, Artificer"
50,Alley Strangler,B,3.0,{2}{B},2.0,3.0,,Menace,common,Menace,,Creature,"Aetherborn, Rogue"
51,Cruel Finality,B,3.0,{2}{B},,,,Target creature gets -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),common,Scry,,Instant,
52,Daring Demolition,B,4.0,{2}{B}{B},,,,Destroy target creature or Vehicle.,common,,,Sorcery,
53,Defiant Salvager,B,3.0,{2}{B},2.0,2.0,,Sacrifice an artifact or creature: Put a +1/+1 counter on Defiant Salvager. Activate only as a sorcery.,common,,,Creature,"Aetherborn, Artificer"
54,Fatal Push,B,1.0,{B},,,,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",uncommon,Revolt,,Instant,
55,Fen Hauler,B,7.0,{6}{B},5.0,5.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Fen Hauler can't be blocked by artifact creatures.",common,Improvise,,Creature,Insect
56,Foundry Hornet,B,4.0,{3}{B},2.0,3.0,,"Flying
When Foundry Hornet enters the battlefield, if you control a creature with a +1/+1 counter on it, creatures your opponents control get -1/-1 until end of turn.",uncommon,Flying,,Creature,Insect
57,Fourth Bridge Prowler,B,1.0,{B},1.0,1.0,,"When Fourth Bridge Prowler enters the battlefield, you may have target creature get -1/-1 until end of turn.",common,,,Creature,"Human, Rogue"
58,Gifted Aetherborn,B,2.0,{B}{B},2.0,3.0,,"Deathtouch, lifelink",uncommon,"Deathtouch, Lifelink",,Creature,"Aetherborn, Vampire"
59,Glint-Sleeve Siphoner,B,2.0,{1}{B},2.0,1.0,,"Menace
Whenever Glint-Sleeve Siphoner enters the battlefield or attacks, you get {E} (an energy counter).
At the beginning of your upkeep, you may pay {E}{E}. If you do, you draw a card and you lose 1 life.",rare,Menace,,Creature,"Human, Rogue"
60,Gonti's Machinations,B,1.0,{B},,,,"Whenever you lose life for the first time each turn, you get {E}. (You get an energy counter. Damage causes loss of life.)
Pay {E}{E}, Sacrifice Gonti's Machinations: Each opponent loses 3 life. You gain life equal to the life lost this way.",uncommon,,,Enchantment,
61,Herald of Anguish,B,7.0,{5}{B}{B},5.0,5.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying
At the beginning of your end step, each opponent discards a card.
{1}{B}, Sacrifice an artifact: Target creature gets -2/-2 until end of turn.",mythic,"Flying, Improvise",,Creature,Demon
62,Ironclad Revolutionary,B,6.0,{4}{B}{B},4.0,4.0,,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.",uncommon,,,Creature,"Aetherborn, Artificer"
63,Midnight Entourage,B,4.0,{2}{B}{B},3.0,3.0,,"Other Aetherborn you control get +1/+1.
Whenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life.",rare,,,Creature,"Aetherborn, Rogue"
64,Night Market Aeronaut,B,4.0,{3}{B},2.0,2.0,,"Flying
Revolt — Night Market Aeronaut enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.",common,"Flying, Revolt",,Creature,"Aetherborn, Warrior"
65,Perilous Predicament,B,5.0,{4}{B},,,,Each opponent sacrifices an artifact creature and a nonartifact creature.,uncommon,,,Instant,
66,Renegade's Getaway,B,3.0,{2}{B},,,,"Target permanent gains indestructible until end of turn. Create a 1/1 colorless Servo artifact creature token. (Effects that say ""destroy"" don't destroy a permanent with indestructible, and if it's a creature, it can't be destroyed by damage.)",common,,,Instant,
67,Resourceful Return,B,2.0,{1}{B},,,,"Return target creature card from your graveyard to your hand. If you control an artifact, draw a card.",common,,,Sorcery,
68,Secret Salvage,B,5.0,{3}{B}{B},,,,"Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle.",rare,,,Sorcery,
69,Sly Requisitioner,B,5.0,{4}{B},2.0,2.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Whenever a nontoken artifact you control is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.",uncommon,Improvise,,Creature,"Human, Artificer"
70,Vengeful Rebel,B,3.0,{2}{B},3.0,2.0,,"Revolt — When Vengeful Rebel enters the battlefield, if a permanent you controlled left the battlefield this turn, target creature an opponent controls gets -3/-3 until end of turn.",uncommon,Revolt,,Creature,"Aetherborn, Warrior"
71,"Yahenni, Undying Partisan",B,3.0,{2}{B},2.0,2.0,,"Haste
Whenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni, Undying Partisan.
Sacrifice another creature: Yahenni gains indestructible until end of turn.",rare,Haste,Legendary,Creature,"Aetherborn, Vampire"
72,Yahenni's Expertise,B,4.0,{2}{B}{B},,,,"All creatures get -3/-3 until end of turn.
You may cast a spell with mana value 3 or less from your hand without paying its mana cost.",rare,,,Sorcery,
73,Aether Chaser,R,2.0,{1}{R},2.0,1.0,,"First strike
When Aether Chaser enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Chaser attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,First strike,,Creature,"Human, Artificer"
74,Chandra's Revolution,R,4.0,{3}{R},,,,Chandra's Revolution deals 4 damage to target creature. Tap target land. That land doesn't untap during its controller's next untap step.,common,,,Sorcery,
75,Destructive Tampering,R,3.0,{2}{R},,,,"Choose one —
• Destroy target artifact.
• Creatures without flying can't block this turn.",common,,,Sorcery,
76,Embraal Gear-Smasher,R,3.0,{2}{R},2.0,3.0,,"{T}, Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.",common,,,Creature,"Human, Warrior"
77,Enraged Giant,R,6.0,{5}{R},4.0,4.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Trample, haste",uncommon,"Haste, Improvise, Trample",,Creature,Giant
78,Freejam Regent,R,6.0,{4}{R}{R},4.0,4.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Flying
{1}{R}: Freejam Regent gets +2/+0 until end of turn.",rare,"Flying, Improvise",,Creature,Dragon
79,Frontline Rebel,R,3.0,{2}{R},3.0,3.0,,Frontline Rebel attacks each combat if able.,common,,,Creature,"Human, Warrior"
80,Gremlin Infestation,R,4.0,{3}{R},,,,"Enchant artifact
At the beginning of your end step, Gremlin Infestation deals 2 damage to enchanted artifact's controller.
When enchanted artifact is put into a graveyard, create a 2/2 red Gremlin creature token.",uncommon,Enchant,,Enchantment,Aura
81,Hungry Flames,R,3.0,{2}{R},,,,Hungry Flames deals 3 damage to target creature and 2 damage to target player or planeswalker.,uncommon,,,Instant,
82,Invigorated Rampage,R,2.0,{1}{R},,,,"Choose one —
• Target creature gets +4/+0 and gains trample until end of turn.
• Two target creatures each get +2/+0 and gain trample until end of turn.",uncommon,,,Instant,
83,"Kari Zev, Skyship Raider",R,2.0,{1}{R},1.0,3.0,,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat.",rare,"First strike, Menace",Legendary,Creature,"Human, Pirate"
84,Kari Zev's Expertise,R,3.0,{1}{R}{R},,,,"Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.
You may cast a spell with mana value 2 or less from your hand without paying its mana cost.",rare,,,Sorcery,
85,Lathnu Sailback,R,5.0,{4}{R},5.0,4.0,,,common,,,Creature,Lizard
86,Lightning Runner,R,5.0,{3}{R}{R},2.0,2.0,,"Double strike, haste
Whenever Lightning Runner attacks, you get {E}{E} (two energy counters), then you may pay {E}{E}{E}{E}{E}{E}{E}{E}. If you pay, untap all creatures you control, and after this phase, there is an additional combat phase.",mythic,"Double strike, Haste",,Creature,"Human, Warrior"
87,Pia's Revolution,R,3.0,{2}{R},,,,"Whenever a nontoken artifact is put into your graveyard from the battlefield, return that card to your hand unless target opponent has Pia's Revolution deal 3 damage to them.",rare,,,Enchantment,
88,Precise Strike,R,1.0,{R},,,,Target creature gets +1/+0 and gains first strike until end of turn.,common,,,Instant,
89,Quicksmith Rebel,R,4.0,{3}{R},3.0,2.0,,"When Quicksmith Rebel enters the battlefield, target artifact you control gains ""{T}: This artifact deals 2 damage to any target"" for as long as you control Quicksmith Rebel.",rare,,,Creature,"Human, Artificer"
90,Ravenous Intruder,R,2.0,{1}{R},1.0,2.0,,Sacrifice an artifact: Ravenous Intruder gets +2/+2 until end of turn.,uncommon,,,Creature,Gremlin
91,Reckless Racer,R,3.0,{2}{R},2.0,3.0,,"First strike
Whenever Reckless Racer becomes tapped, you may discard a card. If you do, draw a card.",uncommon,First strike,,Creature,"Human, Pilot"
92,Scrapper Champion,R,4.0,{3}{R},2.0,2.0,,"Double strike (This creature deals both first-strike and regular combat damage.)
When Scrapper Champion enters the battlefield, you get {E}{E} (two energy counters).
Whenever Scrapper Champion attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",uncommon,Double strike,,Creature,"Human, Artificer"
93,Shock,R,1.0,{R},,,,Shock deals 2 damage to any target.,common,,,Instant,
94,Siege Modification,R,3.0,{1}{R}{R},,,,"Enchant creature or Vehicle
As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.
Enchanted creature gets +3/+0 and has first strike.",uncommon,Enchant,,Enchantment,Aura
95,Sweatworks Brawler,R,4.0,{3}{R},3.0,3.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Menace",common,"Improvise, Menace",,Creature,"Human, Artificer"
96,Wrangle,R,2.0,{1}{R},,,,Gain control of target creature with power 4 or less until end of turn. Untap that creature. It gains haste until end of turn.,common,,,Sorcery,
97,Aether Herder,G,4.0,{3}{G},3.0,3.0,,"When Aether Herder enters the battlefield, you get {E}{E} (two energy counters).
Whenever Aether Herder attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",common,,,Creature,"Elf, Artificer, Druid"
98,Aetherstream Leopard,G,3.0,{2}{G},2.0,3.0,,"Trample
When Aetherstream Leopard enters the battlefield, you get {E} (an energy counter).
Whenever Aetherstream Leopard attacks, you may pay {E}. If you do, it gets +2/+0 until end of turn.",common,Trample,,Creature,Cat
99,Aetherwind Basker,G,7.0,{4}{G}{G}{G},7.0,7.0,,"Trample
Whenever Aetherwind Basker enters the battlefield or attacks, you get {E} (an energy counter) for each creature you control.
Pay {E}: Aetherwind Basker gets +1/+1 until end of turn.",mythic,Trample,,Creature,Lizard
100,Aid from the Cowl,G,5.0,{3}{G}{G},,,,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, reveal the top card of your library. If it's a permanent card, you may put it onto the battlefield. Otherwise, you may put it on the bottom of your library.",rare,Revolt,,Enchantment,
101,Druid of the Cowl,G,2.0,{1}{G},1.0,3.0,,{T}: Add {G}.,common,,,Creature,"Elf, Druid"
102,Greenbelt Rampager,G,1.0,{G},3.0,4.0,,"When Greenbelt Rampager enters the battlefield, pay {E}{E} (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get {E}.",rare,,,Creature,Elephant
103,Greenwheel Liberator,G,2.0,{1}{G},2.0,1.0,,Revolt — Greenwheel Liberator enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.,rare,Revolt,,Creature,"Elf, Warrior"
104,Heroic Intervention,G,2.0,{1}{G},,,,Permanents you control gain hexproof and indestructible until end of turn.,rare,,,Instant,
105,Hidden Herbalists,G,2.0,{1}{G},2.0,2.0,,"Revolt — When Hidden Herbalists enters the battlefield, if a permanent you controlled left the battlefield this turn, add {G}{G}.",uncommon,Revolt,,Creature,"Human, Druid"
106,Highspire Infusion,G,2.0,{1}{G},,,,Target creature gets +3/+3 until end of turn. You get {E}{E} (two energy counters).,common,,,Instant,
107,Lifecraft Cavalry,G,5.0,{4}{G},4.0,4.0,,"Trample
Revolt — Lifecraft Cavalry enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn.",common,"Revolt, Trample",,Creature,"Elf, Warrior"
108,Lifecrafter's Gift,G,4.0,{3}{G},,,,"Put a +1/+1 counter on target creature, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it.",uncommon,,,Instant,
109,Maulfist Revolutionary,G,3.0,{1}{G}{G},3.0,3.0,,"Trample
When Maulfist Revolutionary enters the battlefield or dies, for each kind of counter on target permanent or player, give that permanent or player another counter of that kind.",uncommon,Trample,,Creature,"Human, Warrior"
110,Monstrous Onslaught,G,5.0,{3}{G}{G},,,,"Monstrous Onslaught deals X damage divided as you choose among any number of target creatures, where X is the greatest power among creatures you control as you cast this spell.",uncommon,,,Sorcery,
111,Narnam Renegade,G,1.0,{G},1.0,2.0,,"Deathtouch
Revolt — Narnam Renegade enters the battlefield with a +1/+1 counter on it if a permanent you controlled left the battlefield this turn.",uncommon,"Deathtouch, Revolt",,Creature,"Elf, Warrior"
112,Natural Obsolescence,G,2.0,{1}{G},,,,Put target artifact on the bottom of its owner's library.,common,,,Instant,
113,Peema Aether-Seer,G,4.0,{3}{G},3.0,2.0,,"When Peema Aether-Seer enters the battlefield, you get an amount of {E} (energy counters) equal to the greatest power among creatures you control.
Pay {E}{E}{E}: Target creature blocks this turn if able.",uncommon,,,Creature,"Elf, Druid"
114,Prey Upon,G,1.0,{G},,,,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.),common,Fight,,Sorcery,
115,Ridgescale Tusker,G,5.0,{3}{G}{G},5.0,5.0,,"When Ridgescale Tusker enters the battlefield, put a +1/+1 counter on each other creature you control.",uncommon,,,Creature,"Pangolin, Beast"
116,"Rishkar, Peema Renegade",G,3.0,{2}{G},2.0,2.0,,"When Rishkar, Peema Renegade enters the battlefield, put a +1/+1 counter on each of up to two target creatures.
Each creature you control with a counter on it has ""{T}: Add {G}.""",rare,,Legendary,Creature,"Elf, Druid"
117,Rishkar's Expertise,G,6.0,{4}{G}{G},,,,"Draw cards equal to the greatest power among creatures you control.
You may cast a spell with mana value 5 or less from your hand without paying its mana cost.",rare,,,Sorcery,
118,Scrounging Bandar,G,2.0,{1}{G},0.0,0.0,,"Scrounging Bandar enters the battlefield with two +1/+1 counters on it.
At the beginning of your upkeep, you may move any number of +1/+1 counters from Scrounging Bandar onto another target creature.",common,,,Creature,"Cat, Monkey"
119,Silkweaver Elite,G,3.0,{2}{G},2.0,2.0,,"Reach (This creature can block creatures with flying.)
Revolt — When Silkweaver Elite enters the battlefield, if a permanent you controlled left the battlefield this turn, draw a card.",common,"Reach, Revolt",,Creature,"Elf, Archer"
120,Unbridled Growth,G,1.0,{G},,,,"Enchant land
Enchanted land has ""{T}: Add one mana of any color.""
Sacrifice Unbridled Growth: Draw a card.",common,Enchant,,Enchantment,Aura
121,Ajani Unyielding,"G, W",6.0,{4}{G}{W},,,4.0,"[+2]: Reveal the top three cards of your library. Put all nonland permanent cards revealed this way into your hand and the rest on the bottom of your library in any order.
[−2]: Exile target creature. Its controller gains life equal to its power.
[−9]: Put five +1/+1 counters on each creature you control and five loyalty counters on each other planeswalker you control.",mythic,,Legendary,Planeswalker,Ajani
122,Dark Intimations,"B, R, U",5.0,{2}{U}{B}{R},,,,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.
When you cast a Bolas planeswalker spell, exile Dark Intimations from your graveyard. That planeswalker enters the battlefield with an additional loyalty counter on it.",rare,,,Sorcery,
123,Hidden Stockpile,"B, W",2.0,{W}{B},,,,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.
{1}, Sacrifice a creature: Scry 1.",uncommon,"Revolt, Scry",,Enchantment,
124,Maverick Thopterist,"R, U",5.0,{3}{U}{R},2.0,2.0,,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
When Maverick Thopterist enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.",uncommon,Improvise,,Creature,"Human, Artificer"
125,Oath of Ajani,"G, W",2.0,{G}{W},,,,"When Oath of Ajani enters the battlefield, put a +1/+1 counter on each creature you control.
Planeswalker spells you cast cost {1} less to cast.",rare,,Legendary,Enchantment,
126,Outland Boar,"G, R",4.0,{2}{R}{G},4.0,4.0,,Outland Boar can't be blocked by creatures with power 2 or less.,uncommon,,,Creature,Boar
127,Renegade Rallier,"G, W",3.0,{1}{G}{W},3.0,2.0,,"Revolt — When Renegade Rallier enters the battlefield, if a permanent you controlled left the battlefield this turn, return target permanent card with mana value 2 or less from your graveyard to the battlefield.",uncommon,Revolt,,Creature,"Human, Warrior"
128,Renegade Wheelsmith,"R, W",3.0,{1}{R}{W},3.0,2.0,,"Whenever Renegade Wheelsmith becomes tapped, target creature can't block this turn.",uncommon,,,Creature,"Dwarf, Pilot"
129,Rogue Refiner,"G, U",3.0,{1}{G}{U},3.0,2.0,,"When Rogue Refiner enters the battlefield, draw a card and you get {E}{E} (two energy counters).",uncommon,,,Creature,"Human, Rogue"
130,Spire Patrol,"U, W",4.0,{2}{W}{U},3.0,2.0,,"Flying
When Spire Patrol enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",uncommon,Flying,,Creature,"Human, Soldier"
