,name,colors,manaValue,manaCost,power,toughness,loyalty,text,rarity,keywords,supertypes,types
15,"Evra, Halcyon Witness",W,6.0,{4}{W}{W},4.0,4.0,,"Lifelink
{4}: Exchange your life total with Evra, Halcyon Witness's power.",rare,Lifelink,Legendary,Creature
16,Excavation Elephant,W,5.0,{4}{W},3.0,5.0,,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
When Excavation Elephant enters the battlefield, if it was kicked, return target artifact card from your graveyard to your hand.",common,Kicker,,Creature
17,Fall of the Thran,W,6.0,{5}{W},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy all lands.
II, III — Each player returns two land cards from their graveyard to the battlefield.",rare,,,Enchantment
18,Gideon's Reproach,W,2.0,{1}{W},,,,Gideon's Reproach deals 4 damage to target attacking or blocking creature.,common,,,Instant
19,Healing Grace,W,1.0,{W},,,,Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.,common,,,Instant
20,History of Benalia,W,3.0,{1}{W}{W},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Create a 2/2 white Knight creature token with vigilance.
III — Knights you control get +2/+1 until end of turn.",mythic,,,Enchantment
21,Invoke the Divine,W,3.0,{2}{W},,,,Destroy target artifact or enchantment. You gain 4 life.,common,,,Instant
22,Knight of Grace,W,2.0,{1}{W},2.0,2.0,,"First strike
Hexproof from black (This creature can't be the target of black spells or abilities your opponents control.)
Knight of Grace gets +1/+0 as long as any player controls a black permanent.",uncommon,"First strike, Hexproof, Hexproof from",,Creature
23,Knight of New Benalia,W,2.0,{1}{W},3.0,1.0,,,common,,,Creature
24,"Kwende, Pride of Femeref",W,4.0,{3}{W},2.0,2.0,,"Double strike
Creatures you control with first strike have double strike.",uncommon,Double strike,Legendary,Creature
25,Lyra Dawnbringer,W,5.0,{3}{W}{W},5.0,5.0,,"Flying, first strike, lifelink
Other Angels you control get +1/+1 and have lifelink.",mythic,"First strike, Flying, Lifelink",Legendary,Creature
26,Mesa Unicorn,W,2.0,{1}{W},2.0,2.0,,Lifelink,common,Lifelink,,Creature
27,On Serra's Wings,W,4.0,{3}{W},,,,"Enchant creature
Enchanted creature is legendary, gets +1/+1, and has flying, vigilance, and lifelink.",uncommon,Enchant,Legendary,Enchantment
28,Pegasus Courser,W,3.0,{2}{W},1.0,3.0,,"Flying
Whenever Pegasus Courser attacks, another target attacking creature gains flying until end of turn.",common,Flying,,Creature
29,Sanctum Spirit,W,4.0,{3}{W},3.0,2.0,,"Lifelink
Discard a historic card: Sanctum Spirit gains indestructible until end of turn. (Artifacts, legendaries, and Sagas are historic.)",uncommon,Lifelink,,Creature
30,Seal Away,W,2.0,{1}{W},,,,"Flash
When Seal Away enters the battlefield, exile target tapped creature an opponent controls until Seal Away leaves the battlefield.",uncommon,Flash,,Enchantment
31,Sergeant-at-Arms,W,3.0,{2}{W},2.0,3.0,,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
When Sergeant-at-Arms enters the battlefield, if it was kicked, create two 1/1 white Soldier creature tokens.",common,Kicker,,Creature
32,Serra Angel,W,5.0,{3}{W}{W},4.0,4.0,,"Flying, vigilance",uncommon,"Flying, Vigilance",,Creature
33,Serra Disciple,W,2.0,{1}{W},1.0,1.0,,"Flying, first strike
Whenever you cast a historic spell, Serra Disciple gets +1/+1 until end of turn. (Artifacts, legendaries, and Sagas are historic.)",common,"First strike, Flying",,Creature
34,"Shalai, Voice of Plenty",W,4.0,{3}{W},3.0,4.0,,"Flying
You, planeswalkers you control, and other creatures you control have hexproof.
{4}{G}{G}: Put a +1/+1 counter on each creature you control.",rare,Flying,Legendary,Creature
35,"Teshar, Ancestor's Apostle",W,4.0,{3}{W},2.0,2.0,,"Flying
Whenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)",rare,Flying,Legendary,Creature
36,Tragic Poet,W,1.0,{W},1.0,1.0,,"{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.",common,,,Creature
37,Triumph of Gerrard,W,2.0,{1}{W},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Put a +1/+1 counter on target creature you control with the greatest power.
III — Target creature you control with the greatest power gains flying, first strike, and lifelink until end of turn.",uncommon,,,Enchantment
38,Urza's Ruinous Blast,W,5.0,{4}{W},,,,"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Exile all nonland permanents that aren't legendary.",rare,,Legendary,Sorcery
39,Academy Drake,U,3.0,{2}{U},2.0,2.0,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Flying
If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.",common,"Flying, Kicker",,Creature
40,Academy Journeymage,U,5.0,{4}{U},3.0,2.0,,"This spell costs {1} less to cast if you control a Wizard.
When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.",common,,,Creature
41,The Antiquities War,U,4.0,{3}{U},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
III — Artifacts you control become artifact creatures with base power and toughness 5/5 until end of turn.",rare,,,Enchantment
42,Arcane Flight,U,1.0,{U},,,,"Enchant creature
Enchanted creature gets +1/+1 and has flying.",common,Enchant,,Enchantment
43,Artificer's Assistant,U,1.0,{U},1.0,1.0,,"Flying
Whenever you cast a historic spell, scry 1. (Artifacts, legendaries, and Sagas are historic. To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)",common,"Flying, Scry",,Creature
44,Befuddle,U,3.0,{2}{U},,,,"Target creature gets -4/-0 until end of turn.
Draw a card.",common,,,Instant
45,Blink of an Eye,U,2.0,{1}{U},,,,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",common,Kicker,,Instant
46,Cloudreader Sphinx,U,5.0,{4}{U},3.0,4.0,,"Flying
When Cloudreader Sphinx enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",common,"Flying, Scry",,Creature
47,Cold-Water Snapper,U,6.0,{5}{U},4.0,5.0,,Hexproof (This creature can't be the target of spells or abilities your opponents control.),common,Hexproof,,Creature
48,Curator's Ward,U,3.0,{2}{U},,,,"Enchant permanent
Enchanted permanent has hexproof.
When enchanted permanent leaves the battlefield, if it was historic, draw two cards. (Artifacts, legendaries, and Sagas are historic.)",uncommon,Enchant,,Enchantment
49,Deep Freeze,U,3.0,{2}{U},,,,"Enchant creature
Enchanted creature has base power and toughness 0/4, has defender, loses all other abilities, and is a blue Wall in addition to its other colors and types.",common,Enchant,,Enchantment
50,Diligent Excavator,U,2.0,{1}{U},1.0,3.0,,"Whenever you cast a historic spell, target player mills two cards. (Artifacts, legendaries, and Sagas are historic.)",uncommon,Mill,,Creature
51,Divination,U,3.0,{2}{U},,,,Draw two cards.,common,,,Sorcery
52,Homarid Explorer,U,4.0,{3}{U},3.0,3.0,,"When Homarid Explorer enters the battlefield, target player mills four cards.",common,Mill,,Creature
53,In Bolas's Clutches,U,6.0,{4}{U}{U},,,,"Enchant permanent
You control enchanted permanent.
Enchanted permanent is legendary.",uncommon,Enchant,Legendary,Enchantment
54,Karn's Temporal Sundering,U,6.0,{4}{U}{U},,,,"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Target player takes an extra turn after this one. Return up to one target nonland permanent to its owner's hand. Exile Karn's Temporal Sundering.",rare,,Legendary,Sorcery
55,Merfolk Trickster,U,2.0,{U}{U},2.0,2.0,,"Flash
When Merfolk Trickster enters the battlefield, tap target creature an opponent controls. It loses all abilities until end of turn.",uncommon,Flash,,Creature
56,The Mirari Conjecture,U,5.0,{4}{U},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Return target instant card from your graveyard to your hand.
II — Return target sorcery card from your graveyard to your hand.
III — Until end of turn, whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy.",rare,,,Enchantment
57,"Naban, Dean of Iteration",U,2.0,{1}{U},2.0,1.0,,"If a Wizard entering the battlefield under your control causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",rare,,Legendary,Creature
58,"Naru Meha, Master Wizard",U,4.0,{2}{U}{U},3.0,3.0,,"Flash
When Naru Meha, Master Wizard enters the battlefield, copy target instant or sorcery spell you control. You may choose new targets for the copy.
Other Wizards you control get +1/+1.",mythic,Flash,Legendary,Creature
59,Opt,U,1.0,{U},,,,"Scry 1.
Draw a card.",common,Scry,,Instant
60,Precognition Field,U,4.0,{3}{U},,,,"You may look at the top card of your library any time.
You may cast instant and sorcery spells from the top of your library.
{3}: Exile the top card of your library.",rare,,,Enchantment
61,Relic Runner,U,2.0,{1}{U},2.0,1.0,,"Relic Runner can't be blocked if you've cast a historic spell this turn. (Artifacts, legendaries, and Sagas are historic.)",common,,,Creature
62,Rescue,U,1.0,{U},,,,Return target permanent you control to its owner's hand.,common,,,Instant
63,Sage of Lat-Nam,U,2.0,{1}{U},1.0,2.0,,"{T}, Sacrifice an artifact: Draw a card.",uncommon,,,Creature
64,Sentinel of the Pearl Trident,U,5.0,{4}{U},3.0,3.0,,"Flash
When Sentinel of the Pearl Trident enters the battlefield, you may exile target historic permanent you control. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step. (Artifacts, legendaries, and Sagas are historic.)",uncommon,Flash,,Creature
65,"Slinn Voda, the Rising Deep",U,8.0,{6}{U}{U},8.0,8.0,,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
When Slinn Voda, the Rising Deep enters the battlefield, if it was kicked, return all creatures to their owners' hands except for Merfolk, Krakens, Leviathans, Octopuses, and Serpents.",uncommon,Kicker,Legendary,Creature
66,Syncopate,U,1.0,{X}{U},,,,"Counter target spell unless its controller pays {X}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",common,,,Instant
67,Tempest Djinn,U,3.0,{U}{U}{U},0.0,4.0,,"Flying
Tempest Djinn gets +1/+0 for each basic Island you control.",rare,Flying,,Creature
68,"Tetsuko Umezawa, Fugitive",U,2.0,{1}{U},1.0,3.0,,Creatures you control with power or toughness 1 or less can't be blocked.,uncommon,,Legendary,Creature
69,Time of Ice,U,4.0,{3}{U},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Tap target creature an opponent controls. It doesn't untap during its controller's untap step for as long as you control Time of Ice.
III — Return all tapped creatures to their owners' hands.",uncommon,,,Enchantment
70,Tolarian Scholar,U,3.0,{2}{U},2.0,3.0,,,common,,,Creature
71,Unwind,U,3.0,{2}{U},,,,Counter target noncreature spell. Untap up to three lands.,common,,,Instant
72,Vodalian Arcanist,U,2.0,{1}{U},1.0,3.0,,{T}: Add {C}. Spend this mana only to cast an instant or sorcery spell.,common,,,Creature
73,Weight of Memory,U,5.0,{3}{U}{U},,,,Draw three cards. Target player mills three cards.,uncommon,Mill,,Sorcery
74,Wizard's Retort,U,3.0,{1}{U}{U},,,,"This spell costs {1} less to cast if you control a Wizard.
Counter target spell.",uncommon,,,Instant
75,"Zahid, Djinn of the Lamp",U,6.0,{4}{U}{U},5.0,6.0,,"You may pay {3}{U} and tap an untapped artifact you control rather than pay this spell's mana cost.
Flying",rare,Flying,Legendary,Creature
76,Blessing of Belzenlok,B,1.0,{B},,,,"Target creature gets +2/+1 until end of turn. If it's legendary, it also gains lifelink until end of turn.",common,,,Instant
77,Cabal Evangel,B,2.0,{1}{B},2.0,2.0,,,common,,,Creature
78,Cabal Paladin,B,4.0,{3}{B},4.0,2.0,,"Whenever you cast a historic spell, Cabal Paladin deals 2 damage to each opponent. (Artifacts, legendaries, and Sagas are historic.)",common,,,Creature
79,Caligo Skin-Witch,B,2.0,{1}{B},1.0,3.0,,"Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.)
When Caligo Skin-Witch enters the battlefield, if it was kicked, each opponent discards two cards.",common,Kicker,,Creature
80,Cast Down,B,2.0,{1}{B},,,,Destroy target nonlegendary creature.,uncommon,,,Instant
81,Chainer's Torment,B,4.0,{3}{B},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Chainer's Torment deals 2 damage to each opponent and you gain 2 life.
III — Create an X/X black Nightmare Horror creature token, where X is half your life total, rounded up. It deals X damage to you.",uncommon,,,Enchantment
82,Dark Bargain,B,4.0,{3}{B},,,,Look at the top three cards of your library. Put two of them into your hand and the other into your graveyard. Dark Bargain deals 2 damage to you.,common,,,Instant
83,Deathbloom Thallid,B,3.0,{2}{B},3.0,2.0,,"When Deathbloom Thallid dies, create a 1/1 green Saproling creature token.",common,,,Creature
84,Demonic Vigor,B,1.0,{B},,,,"Enchant creature
Enchanted creature gets +1/+1.
When enchanted creature dies, return that card to its owner's hand.",common,Enchant,,Enchantment
85,Demonlord Belzenlok,B,6.0,{4}{B}{B},6.0,6.0,,"Flying, trample
When Demonlord Belzenlok enters the battlefield, exile cards from the top of your library until you exile a nonland card, then put that card into your hand. If the card's mana value is 4 or greater, repeat this process. Demonlord Belzenlok deals 1 damage to you for each card put into your hand this way.",mythic,"Flying, Trample",Legendary,Creature
86,Divest,B,1.0,{B},,,,Target player reveals their hand. You choose an artifact or creature card from it. That player discards that card.,common,,,Sorcery
87,Dread Shade,B,3.0,{B}{B}{B},3.0,3.0,,{B}: Dread Shade gets +1/+1 until end of turn.,rare,,,Creature
88,Drudge Sentinel,B,3.0,{2}{B},2.0,1.0,,"{3}: Tap Drudge Sentinel. It gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",common,,,Creature
89,The Eldest Reborn,B,5.0,{4}{B},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Each opponent sacrifices a creature or planeswalker.
II — Each opponent discards a card.
III — Put target creature or planeswalker card from a graveyard onto the battlefield under your control.",uncommon,,,Enchantment
90,Eviscerate,B,4.0,{3}{B},,,,Destroy target creature.,common,,,Sorcery
91,Feral Abomination,B,6.0,{5}{B},5.0,5.0,,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),common,Deathtouch,,Creature
92,Final Parting,B,5.0,{3}{B}{B},,,,Search your library for two cards. Put one into your hand and the other into your graveyard. Then shuffle.,uncommon,,,Sorcery
93,Fungal Infection,B,1.0,{B},,,,Target creature gets -1/-1 until end of turn. Create a 1/1 green Saproling creature token.,common,,,Instant
94,"Josu Vess, Lich Knight",B,4.0,{2}{B}{B},4.0,5.0,,"Kicker {5}{B} (You may pay an additional {5}{B} as you cast this spell.)
Menace
When Josu Vess, Lich Knight enters the battlefield, if it was kicked, create eight 2/2 black Zombie Knight creature tokens with menace.",rare,"Kicker, Menace",Legendary,Creature
95,"Kazarov, Sengir Pureblood",B,7.0,{5}{B}{B},4.0,4.0,,"Flying
Whenever a creature an opponent controls is dealt damage, put a +1/+1 counter on Kazarov, Sengir Pureblood.
{3}{R}: Kazarov deals 2 damage to target creature.",rare,Flying,Legendary,Creature
96,Knight of Malice,B,2.0,{1}{B},2.0,2.0,,"First strike
Hexproof from white (This creature can't be the target of white spells or abilities your opponents control.)
Knight of Malice gets +1/+0 as long as any player controls a white permanent.",uncommon,"First strike, Hexproof, Hexproof from",,Creature
97,Lich's Mastery,B,6.0,{3}{B}{B}{B},,,,"Hexproof
You can't lose the game.
Whenever you gain life, draw that many cards.
Whenever you lose life, for each 1 life you lost, exile a permanent you control or a card from your hand or graveyard.
When Lich's Mastery leaves the battlefield, you lose the game.",rare,Hexproof,Legendary,Enchantment
98,Lingering Phantom,B,6.0,{5}{B},5.0,4.0,,"Whenever you cast a historic spell, you may pay {B}. If you do, return Lingering Phantom from your graveyard to your hand. (Artifacts, legendaries, and Sagas are historic.)",uncommon,,,Creature
99,Phyrexian Scriptures,B,4.0,{2}{B}{B},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Put a +1/+1 counter on up to one target creature. That creature becomes an artifact in addition to its other types.
II — Destroy all nonartifact creatures.
III — Exile all opponents' graveyards.",mythic,,,Enchantment
100,Rat Colony,B,2.0,{1}{B},2.0,1.0,,"Rat Colony gets +1/+0 for each other Rat you control.
A deck can have any number of cards named Rat Colony.",common,,,Creature
101,Rite of Belzenlok,B,4.0,{2}{B}{B},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Create two 0/1 black Cleric creature tokens.
III — Create a 6/6 black Demon creature token with flying, trample, and ""At the beginning of your upkeep, sacrifice another creature. If you can't, this creature deals 6 damage to you.""",rare,,,Enchantment
102,Settle the Score,B,4.0,{2}{B}{B},,,,Exile target creature. Put two loyalty counters on a planeswalker you control.,uncommon,,,Sorcery
103,Soul Salvage,B,3.0,{2}{B},,,,Return up to two target creature cards from your graveyard to your hand.,common,,,Sorcery
104,Stronghold Confessor,B,1.0,{B},1.0,1.0,,"Kicker {3} (You may pay an additional {3} as you cast this spell.)
Menace (This creature can't be blocked except by two or more creatures.)
If Stronghold Confessor was kicked, it enters the battlefield with two +1/+1 counters on it.",common,"Kicker, Menace",,Creature
105,Thallid Omnivore,B,4.0,{3}{B},3.0,3.0,,"{1}, Sacrifice another creature: Thallid Omnivore gets +2/+2 until end of turn. If a Saproling was sacrificed this way, you gain 2 life.",common,,,Creature
106,Thallid Soothsayer,B,4.0,{3}{B},2.0,3.0,,"{2}, Sacrifice a creature: Draw a card.",uncommon,,,Creature
107,"Torgaar, Famine Incarnate",B,8.0,{6}{B}{B},7.0,6.0,,"As an additional cost to cast this spell, you may sacrifice any number of creatures. This spell costs {2} less to cast for each creature sacrificed this way.
When Torgaar, Famine Incarnate enters the battlefield, up to one target player's life total becomes half their starting life total, rounded down.",rare,,Legendary,Creature
108,"Urgoros, the Empty One",B,6.0,{4}{B}{B},4.0,3.0,,"Flying
Whenever Urgoros, the Empty One deals combat damage to a player, that player discards a card at random. If the player can't, you draw a card.",uncommon,Flying,Legendary,Creature
109,Vicious Offering,B,2.0,{1}{B},,,,"Kicker—Sacrifice a creature. (You may sacrifice a creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -5/-5 until end of turn instead.",common,Kicker,,Instant
110,"Whisper, Blood Liturgist",B,4.0,{3}{B},2.0,2.0,,"{T}, Sacrifice two creatures: Return target creature card from your graveyard to the battlefield.",uncommon,,Legendary,Creature
111,Windgrace Acolyte,B,5.0,{4}{B},3.0,2.0,,"Flying
When Windgrace Acolyte enters the battlefield, mill three cards and you gain 3 life.",common,"Flying, Mill",,Creature
112,"Yargle, Glutton of Urborg",B,5.0,{4}{B},9.0,3.0,,,uncommon,,Legendary,Creature
113,Yawgmoth's Vile Offering,B,5.0,{4}{B},,,,"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Put up to one target creature or planeswalker card from a graveyard onto the battlefield under your control. Destroy up to one target creature or planeswalker. Exile Yawgmoth's Vile Offering.",rare,,Legendary,Sorcery
114,Bloodstone Goblin,R,2.0,{1}{R},2.0,2.0,,"Whenever you cast a spell, if that spell was kicked, Bloodstone Goblin gets +1/+1 and gains menace until end of turn. (It can't be blocked except by two or more creatures.)",common,,,Creature
115,Champion of the Flame,R,2.0,{1}{R},1.0,1.0,,"Trample
Champion of the Flame gets +2/+2 for each Aura and Equipment attached to it.",uncommon,Trample,,Creature
116,Fervent Strike,R,1.0,{R},,,,Target creature gets +1/+0 and gains first strike and haste until end of turn.,common,,,Instant
117,Fiery Intervention,R,5.0,{4}{R},,,,"Choose one —
• Fiery Intervention deals 5 damage to target creature.
• Destroy target artifact.",common,,,Sorcery
118,Fight with Fire,R,3.0,{2}{R},,,,"Kicker {5}{R} (You may pay an additional {5}{R} as you cast this spell.)
Fight with Fire deals 5 damage to target creature. If this spell was kicked, it deals 10 damage divided as you choose among any number of targets instead. (Those targets can include players and planeswalkers.)",uncommon,Kicker,,Sorcery
119,Fire Elemental,R,5.0,{3}{R}{R},5.0,4.0,,,common,,,Creature
120,Firefist Adept,R,5.0,{4}{R},3.0,3.0,,"When Firefist Adept enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of Wizards you control.",uncommon,,,Creature
121,The First Eruption,R,3.0,{2}{R},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — The First Eruption deals 1 damage to each creature without flying.
II — Add {R}{R}.
III — Sacrifice a Mountain. If you do, The First Eruption deals 3 damage to each creature.",rare,,,Enchantment
122,The Flame of Keld,R,2.0,{1}{R},,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Discard your hand.
II — Draw two cards.
III — If a red source you control would deal damage to a permanent or player this turn, it deals that much damage plus 2 to that permanent or player instead.",uncommon,,,Enchantment
123,Frenzied Rage,R,2.0,{1}{R},,,,"Enchant creature
Enchanted creature gets +2/+1 and has menace. (It can't be blocked except by two or more creatures.)",common,Enchant,,Enchantment
124,Ghitu Chronicler,R,2.0,{1}{R},1.0,3.0,,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.)
When Ghitu Chronicler enters the battlefield, if it was kicked, return target instant or sorcery card from your graveyard to your hand.",common,Kicker,,Creature
125,Ghitu Journeymage,R,3.0,{2}{R},3.0,2.0,,"When Ghitu Journeymage enters the battlefield, if you control another Wizard, Ghitu Journeymage deals 2 damage to each opponent.",common,,,Creature
126,Ghitu Lavarunner,R,1.0,{R},1.0,2.0,,"As long as there are two or more instant and/or sorcery cards in your graveyard, Ghitu Lavarunner gets +1/+0 and has haste.",common,,,Creature
127,Goblin Barrage,R,4.0,{3}{R},,,,"Kicker—Sacrifice an artifact or Goblin. (You may sacrifice an artifact or Goblin in addition to any other costs as you cast this spell.)
Goblin Barrage deals 4 damage to target creature. If this spell was kicked, it also deals 4 damage to target player or planeswalker.",uncommon,Kicker,,Sorcery
128,Goblin Chainwhirler,R,3.0,{R}{R}{R},3.0,3.0,,"First strike
When Goblin Chainwhirler enters the battlefield, it deals 1 damage to each opponent and each creature and planeswalker they control.",rare,First strike,,Creature
129,Goblin Warchief,R,3.0,{1}{R}{R},2.0,2.0,,"Goblin spells you cast cost {1} less to cast.
Goblins you control have haste.",uncommon,,,Creature
130,Haphazard Bombardment,R,6.0,{5}{R},,,,"When Haphazard Bombardment enters the battlefield, choose four nonenchantment permanents you don't control and put an aim counter on each of them.
At the beginning of your end step, if two or more permanents you don't control have an aim counter on them, destroy one of those permanents at random.",rare,,,Enchantment
131,Jaya Ballard,R,5.0,{2}{R}{R}{R},,,5.0,"[+1]: Add {R}{R}{R}. Spend this mana only to cast instant or sorcery spells.
[+1]: Discard up to three cards, then draw that many cards.
[−8]: You get an emblem with ""You may cast instant and sorcery spells from your graveyard. If a spell cast this way would be put into your graveyard, exile it instead.""",mythic,,Legendary,Planeswalker
132,Jaya's Immolating Inferno,R,2.0,{X}{R}{R},,,,"(You may cast a legendary sorcery only if you control a legendary creature or planeswalker.)
Jaya's Immolating Inferno deals X damage to each of up to three targets.",rare,,Legendary,Sorcery
133,Keldon Overseer,R,3.0,{2}{R},3.0,1.0,,"Kicker {3}{R} (You may pay an additional {3}{R} as you cast this spell.)
Haste
When Keldon Overseer enters the battlefield, if it was kicked, gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.",common,"Haste, Kicker",,Creature
134,Keldon Raider,R,4.0,{2}{R}{R},4.0,3.0,,"When Keldon Raider enters the battlefield, you may discard a card. If you do, draw a card.",common,,,Creature
135,Keldon Warcaller,R,2.0,{1}{R},2.0,2.0,,"Whenever Keldon Warcaller attacks, put a lore counter on target Saga you control.",common,,,Creature
136,Orcish Vandal,R,2.0,{1}{R},1.0,1.0,,"{T}, Sacrifice an artifact: Orcish Vandal deals 2 damage to any target.",uncommon,,,Creature
137,Radiating Lightning,R,4.0,{3}{R},,,,Radiating Lightning deals 3 damage to target player and 1 damage to each creature that player controls.,common,,,Instant
138,Rampaging Cyclops,R,4.0,{3}{R},4.0,4.0,,Rampaging Cyclops gets -2/-0 as long as two or more creatures are blocking it.,common,,,Creature
139,Run Amok,R,2.0,{1}{R},,,,Target attacking creature gets +3/+3 and gains trample until end of turn.,common,,,Instant
140,Seismic Shift,R,4.0,{3}{R},,,,Destroy target land. Up to two target creatures can't block this turn.,common,,,Sorcery
141,Shivan Fire,R,1.0,{R},,,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Shivan Fire deals 2 damage to target creature. If this spell was kicked, it deals 4 damage instead.",common,Kicker,,Instant
142,Siege-Gang Commander,R,5.0,{3}{R}{R},2.0,2.0,,"When Siege-Gang Commander enters the battlefield, create three 1/1 red Goblin creature tokens.
{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to any target.",rare,,,Creature
143,Skirk Prospector,R,1.0,{R},1.0,1.0,,Sacrifice a Goblin: Add {R}.,common,,,Creature
